;cat 1;cat 2;cat 3;cat 4;cat 5;cat final;url;url_node;node
66;Medical eBooks;Reproductive Medicine & Technology;0;0;0;finale;https://www.amazon.com/s?bbn=157119011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A157119011%2Cn%3A157254011&dc&qid=1660771938&rnid=157119011&ref=lp_157119011_nr_n_15;https://www.amazon.com/s?i=digital-text&rh=n%3A157254011&fs=true&page=1;3A157254011
67;Medical eBooks;Research;0;0;0;finale;https://www.amazon.com/s?bbn=157119011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A157119011%2Cn%3A157255011&dc&qid=1660771938&rnid=157119011&ref=lp_157119011_nr_n_16;https://www.amazon.com/s?i=digital-text&rh=n%3A157255011&fs=true&page=1;3A157255011
68;Mystery, Thriller & Suspense;Science Fiction;0;0;0;finale;https://www.amazon.com/s?bbn=157305011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A157305011%2Cn%3A18623156011&dc&qid=1660771941&rnid=157305011&ref=lp_157305011_nr_n_2;https://www.amazon.com/s?i=digital-text&rh=n%3A18623156011&fs=true&page=1;3A18623156011
69;Parenting & Relationships;Adoption;0;0;0;finale;https://www.amazon.com/s?bbn=157584011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A157584011%2Cn%3A157585011&dc&qid=1660771948&rnid=157584011&ref=lp_157584011_nr_n_0;https://www.amazon.com/s?i=digital-text&rh=n%3A157585011&fs=true&page=1;3A157585011
70;Parenting & Relationships;Family Activities;0;0;0;finale;https://www.amazon.com/s?bbn=157584011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A157584011%2Cn%3A157590011&dc&qid=1660771948&rnid=157584011&ref=lp_157584011_nr_n_2;https://www.amazon.com/s?i=digital-text&rh=n%3A157590011&fs=true&page=1;3A157590011
71;Parenting & Relationships;Family Health;0;0;0;finale;https://www.amazon.com/s?bbn=157584011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A157584011%2Cn%3A157591011&dc&qid=1660771948&rnid=157584011&ref=lp_157584011_nr_n_3;https://www.amazon.com/s?i=digital-text&rh=n%3A157591011&fs=true&page=1;3A157591011
72;Parenting & Relationships;Fertility & Infertility;0;0;0;finale;https://www.amazon.com/s?bbn=157584011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A157584011%2Cn%3A157602011&dc&qid=1660771948&rnid=157584011&ref=lp_157584011_nr_n_5;https://www.amazon.com/s?i=digital-text&rh=n%3A157602011&fs=true&page=1;3A157602011
73;Parenting & Relationships;Literature Guides;0;0;0;finale;https://www.amazon.com/s?bbn=157584011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A157584011%2Cn%3A157604011&dc&qid=1660771948&rnid=157584011&ref=lp_157584011_nr_n_6;https://www.amazon.com/s?i=digital-text&rh=n%3A157604011&fs=true&page=1;3A157604011
74;Parenting & Relationships;LGBTQ+ Parenting & Families;0;0;0;finale;https://www.amazon.com/s?bbn=157584011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A157584011%2Cn%3A18623137011&dc&qid=1660771948&rnid=157584011&ref=lp_157584011_nr_n_7;https://www.amazon.com/s?i=digital-text&rh=n%3A18623137011&fs=true&page=1;3A18623137011
75;Parenting & Relationships;Reference;0;0;0;finale;https://www.amazon.com/s?bbn=157584011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A157584011%2Cn%3A157621011&dc&qid=1660771948&rnid=157584011&ref=lp_157584011_nr_n_9;https://www.amazon.com/s?i=digital-text&rh=n%3A157621011&fs=true&page=1;3A157621011
